X	Y
213	32.4108
214	32.3693
215	32.3102
216	32.2894
217	32.2458
218	32.2448
219	32.2842
220	32.1608
221	32.1846
222	32.2137
223	32.1307
224	32.2842
225	32.2427
226	32.3226
227	32.2770
228	32.2479
229	32.2593
230	32.3849
231	32.3631
232	32.3921
233	32.4896
234	32.6224
235	32.6898
236	32.9429
237	33.0311
238	33.1214
239	33.2666
240	33.4346
241	33.4595
242	33.9108
243	34.0830
244	34.2261
245	34.3672
246	34.6079
247	34.7656
248	34.9886
249	35.1629
250	35.2407
251	35.2313
252	35.4450
253	35.4730
254	35.4865
255	35.5145
256	35.5218
257	35.3880
258	35.4678
259	35.2780
260	35.1473
261	34.9990
262	34.8672
263	34.8672
264	34.6836
265	34.3911
266	34.4336
267	34.2210
268	34.1670
269	34.1577
270	34.1328
271	34.3392
272	34.4450
273	34.6089
274	35.0664
275	35.3683
276	35.7676
277	36.2801
278	36.8268
279	37.6629
280	38.3983
281	39.2230
282	40.0705
283	40.9699
284	41.7033
285	42.6649
286	43.6909
287	44.7365
288	45.6753
289	46.6120
290	47.5685
291	48.3517
292	49.1504
293	50.0301
294	50.7500
295	51.3641
296	51.9419
297	52.5913
298	53.1224
299	53.7137
300	53.8662
301	54.1504
302	54.4253
303	54.5871
304	54.7448
305	54.8237
306	54.9253
307	54.8693
308	54.8662
309	55.0498
310	55.0954
311	55.3537
312	55.2853
313	55.3257
314	55.5488
315	55.5031
316	55.5861
317	55.5373
318	55.4066
319	55.4098
320	55.5290
321	55.5239
322	55.4938
323	55.4066
324	55.7106
325	55.6898
326	55.7438
327	55.7542
328	56.0280
329	56.1120
330	56.4077
331	56.6473
332	56.7656
333	56.8693
334	56.9699
335	57.1556
336	57.3309
337	57.5197
338	57.5498
339	57.6815
340	57.8413
341	57.7936
342	57.9398
343	57.9772
344	57.8506
345	57.9741
346	57.9191
347	58.0021
348	57.9035
349	57.7728
350	57.7687
351	57.7033
352	57.7064
353	57.4326
354	57.3216
355	57.2116
356	56.9658
357	56.8973
358	56.8382
359	56.9761
360	56.7531
361	56.7127
362	56.6432
363	56.6442
364	56.5882
365	56.5550
366	56.5705
367	56.5259
368	56.4658
369	56.5778
370	56.5073
371	56.3174
