Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17
Tracks 1 to 17
25	264.50906	82.80995	 	1233.9563	119.34062	 	379.1704	143.73221	 	771.1667	159.19136	 	494.0423	181.6	 	1019.84985	221.63861	 	418.86615	349.98032	 	1093.0154	371.74915	 	893.7236	396.17075	 	109.10943	403.7458	 	1232.1743	559.8125	 	52.30183	564.41156	 	616.44464	702.5701	 	1436.995	816.1733	 	786.9887	968.2932	 	500.39926	1065.8955	 	862.5278	1074.6459	 
26	264.66513	82.55275	 	1233.9747	119.43355	 	379.20786	143.7397	 	771.09015	159.45082	 	494.0058	181.72394	 	1019.89404	221.78477	 	418.99237	349.89313	 	1093.0354	371.16666	 	893.73773	396.31967	 	109.32313	403.58502	 	1232.597	559.5453	 	52.466465	564.4268	 	616.83453	702.42645	 	1437.0347	816.05444	 	787.0485	968.33954	 	500.50378	1065.8372	 	862.9539	1074.7625	 
27	264.72403	83.22979	 	1233.9313	119.46166	 	379.3736	144.06505	 	771.1461	159.45473	 	493.9414	182.03125	 	1019.6906	221.85786	 	419.24533	349.72098	 	1092.59	370.8525	 	893.5	396.3889	 	109.12963	403.71884	 	1232.4435	560.19104	 	52.213413	564.5305	 	617.23456	702.61273	 	1437.1526	816.2368	 	787.10675	968.7397	 	500.68112	1065.7717	 	862.85913	1074.7958	 
28	264.65384	82.63986	 	1233.9272	119.30696	 	379.53372	143.87453	 	771.19006	159.42561	 	493.8101	181.5155	 	1019.698	221.76175	 	419.27322	349.4814	 	1092.6075	370.96237	 	893.6012	396.2166	 	109.03136	403.58582	 	1232.3323	559.5362	 	52.18182	564.71515	 	617.3285	702.5146	 	1437.0408	816.12244	 	786.92804	968.9659	 	500.47015	1065.8582	 	862.37415	1074.6189	 
29	264.7381	82.561226	 	1234.1335	119.04969	 	380.00565	144.20566	 	771.6336	159.56477	 	493.74124	181.71011	 	1019.8201	221.68152	 	419.1423	349.16153	 	1092.7517	370.94217	 	893.54474	396.16666	 	109.10678	403.5644	 	1232.6465	559.6847	 	51.992165	564.6787	 	617.3689	702.59735	 	1437.03	816.14	 	786.9566	968.97925	 	500.42566	1065.9164	 	862.5	1074.7867	 
30	264.93835	82.80365	 	1233.8712	119.06135	 	379.86703	144.38763	 	771.60657	159.91394	 	493.82297	181.8891	 	1019.7642	221.90802	 	419.32706	349.4812	 	1092.2655	370.81378	 	893.2265	396.34082	 	109.11953	403.82996	 	1232.3131	560.23114	 	52.31571	564.6994	 	617.459	702.9179	 	1437.03	816.14	 	786.9356	969.17804	 	500.27408	1065.9259	 	862.1889	1074.9963	 
31	265.03458	82.69355	 	1233.9486	119.04829	 	379.55576	144.1171	 	771.4918	159.80205	 	493.8891	181.56226	 	1019.9	221.69667	 	419.45505	349.36893	 	1092.0123	370.64035	 	893.2611	396.07086	 	109.19759	403.68213	 	1232.2468	560.0513	 	52.56728	564.552	 	617.90686	702.8384	 	1437.08	815.82	 	787.0115	969.0305	 	500.33456	1065.5883	 	862.205	1074.91	 
32	265.3624	82.727066	 	1234.2743	119.12069	 	379.48508	144.10075	 	771.6707	159.95529	 	493.8086	181.51562	 	1020.43335	221.55333	 	419.50388	349.80234	 	1092.2285	370.81616	 	893.1857	396.20612	 	109.389275	403.44116	 	1232.1699	560.2353	 	52.845566	565.2125	 	617.87305	702.94617	 	1437.0876	816.02576	 	787.0871	968.88635	 	500.09244	1065.9377	 	862.0073	1075.1177	 
33	265.4025	82.67007	 	1233.9574	118.96687	 	379.36716	144.23062	 	771.77014	159.91533	 	493.5659	181.51938	 	1020.11487	221.5777	 	419.44617	349.90768	 	1091.8978	370.72183	 	892.95526	396.2561	 	109.26307	403.46515	 	1231.9507	560.4605	 	52.736362	565.01215	 	617.5809	702.77203	 	1437.0686	815.67645	 	786.9601	968.9943	 	500.47397	1065.5223	 	862.20715	1075.0428	 
34	265.5465	82.94651	 	1234.06	118.83539	 	379.17657	144.42937	 	771.59796	159.89183	 	493.708	181.96	 	1019.7993	221.7467	 	419.8876	349.96512	 	1091.7604	370.82986	 	893.26	396.096	 	109.55694	403.4822	 	1232.2954	560.74677	 	52.418182	564.97577	 	617.4448	702.7647	 	1437.0347	816.05444	 	786.9981	968.9981	 	500.37134	1065.3971	 	862.2357	1074.8071	 
35	265.87183	83.48152	 	1233.8961	119.45527	 	379.16418	144.45895	 	771.5083	160.00623	 	493.3492	182.12698	 	1019.60736	221.93289	 	419.85828	349.98425	 	1091.5475	370.37225	 	892.88934	396.38934	 	109.65862	403.66208	 	1231.9712	560.8593	 	52.201538	565.42615	 	617.4742	703.1273	 	1437.1489	816.1489	 	786.89166	968.94867	 	500.0933	1065.6567	 	862.282	1075.1692	 
36	265.8932	83.461365	 	1234.0125	119.26398	 	379.41852	144.32593	 	771.61475	160.07378	 	493.70883	182.01004	 	1019.5631	221.92857	 	419.8152	349.78406	 	1091.9548	370.19098	 	892.60834	396.32916	 	109.67832	403.5035	 	1231.6462	560.4898	 	52.046585	565.2143	 	617.5815	702.8852	 	1437.1666	815.9194	 	787.3561	968.7841	 	500.14816	1065.226	 	862.1214	1075.0428	 
37	265.90228	83.64318	 	1233.8628	119.35174	 	378.88257	144.52652	 	771.6371	160.5121	 	493.9134	182.09055	 	1019.396	222.04027	 	419.6483	350.07794	 	1091.6454	370.10284	 	892.7008	396.9498	 	109.56406	403.7242	 	1231.4519	560.7165	 	52.200935	565.2321	 	617.6603	703.0916	 	1437.2583	816.2033	 	787.68353	969.0843	 	500.07352	1065.6029	 	862.0821	1075.1716	 
38	265.93417	83.403	 	1233.912	119.56604	 	378.39337	144.36397	 	771.64874	160.14462	 	494.10236	182.48032	 	1019.20233	221.9816	 	419.78793	350.03308	 	1091.5212	369.7553	 	892.9163	396.7898	 	109.45422	403.67957	 	1231.4241	560.1733	 	52.06075	564.9393	 	618.0543	702.76965	 	1437.2778	816.13336	 	787.6805	969.0526	 	500.06985	1065.5735	 	862.3394	1075.084	 
39	266.37268	83.520836	 	1233.9437	119.515625	 	378.59848	144.62878	 	771.54565	159.96059	 	494.07874	182.50394	 	1019.4431	221.91138	 	419.83203	350.08984	 	1091.1278	369.66916	 	893.28687	396.82788	 	109.717545	403.60175	 	1231.0845	559.9527	 	52.863354	565.1118	 	618.05927	702.78516	 	1437.407	816.0	 	787.75	969.0341	 	500.14044	1065.912	 	862.30145	1074.9633	 
40	266.31592	83.579544	 	1233.8805	119.559746	 	378.5148	144.44444	 	771.47107	159.9752	 	494.1172	182.52734	 	1019.24664	221.875	 	419.8504	350.02756	 	1091.0663	370.00537	 	893.1405	396.9091	 	109.708336	403.5382	 	1231.4203	559.98505	 	52.788345	565.1472	 	618.015	702.8459	 	1437.407	816.0	 	787.6321	969.0434	 	500.0055	1065.6501	 	862.2029	1074.9492	 
41	266.37097	83.741936	 	1234.3323	119.21118	 	378.83203	144.10231	 	771.26794	160.03165	 	493.94315	182.1	 	1019.3704	221.53987	 	420.19733	349.95978	 	1091.5101	370.4054	 	892.684	396.704	 	110.165504	403.26654	 	1231.3389	559.4112	 	52.45963	564.70496	 	618.23804	702.6845	 	1437.3942	815.9	 	787.6723	968.8333	 	499.95724	1065.184	 	862.0664	1074.7028	 
42	266.3028	83.7297	 	1234.5823	119.46835	 	379.19403	144.16791	 	771.47943	160.45885	 	493.95883	182.19804	 	1019.28644	221.69322	 	420.32706	350.41354	 	1091.4213	370.29794	 	893.2137	397.00208	 	110.39273	403.27164	 	1231.1633	559.2767	 	52.475903	564.9759	 	618.28754	702.837	 	1437.3202	815.85956	 	788.09625	968.85474	 	499.76218	1065.0056	 	862.1957	1074.9058	 
43	266.19885	83.481606	 	1234.3738	119.45899	 	378.7926	143.61852	 	771.56146	160.26639	 	493.8819	181.9567	 	1018.94037	221.65562	 	420.4585	350.33395	 	1091.4691	370.4691	 	892.8049	396.93903	 	110.302086	403.125	 	1230.9634	559.2233	 	52.674847	565.2055	 	618.70953	702.5	 	1437.03	815.97	 	787.98303	968.3	 	499.8708	1064.8296	 	862.2324	1074.662	 
44	266.3922	83.66284	 	1234.4094	119.54375	 	379.08426	144.2528	 	771.71515	160.2251	 	493.96246	181.99011	 	1019.2741	221.77907	 	420.56015	350.30826	 	1091.7014	370.87543	 	892.9309	396.77643	 	110.208336	402.7014	 	1231.4172	559.33777	 	52.76852	565.0864	 	618.9176	702.4341	 	1437.1421	816.0684	 	788.1729	968.5714	 	499.85605	1064.7576	 	862.3759	1074.9963	 
45	266.4372	83.611626	 	1234.1615	119.82616	 	379.1203	144.28572	 	772.1008	160.08064	 	493.9941	181.99411	 	1019.49005	221.5897	 	420.46255	350.48502	 	1091.71	371.00333	 	892.9549	396.78278	 	110.1993	402.8147	 	1231.2993	559.3707	 	52.2546	565.1595	 	618.6691	702.56616	 	1437.0714	816.1531	 	788.25836	968.3513	 	499.83334	1064.7992	 	862.2246	1074.9637	 
46	266.27576	84.024025	 	1233.9146	119.63291	 	379.12827	144.28067	 	772.1502	160.07202	 	493.9502	182.14143	 	1019.6	222.02667	 	420.82706	350.44736	 	1091.9478	371.35294	 	892.85223	396.70242	 	110.258865	402.87943	 	1231.3878	559.91254	 	52.06075	565.15735	 	619.19116	702.5698	 	1437.1146	816.26044	 	788.1889	968.3222	 	499.55127	1064.3608	 	861.9507	1074.838	 
47	265.88748	84.286545	 	1233.75	119.50938	 	379.2015	144.41045	 	772.22687	160.0252	 	493.83463	182.35603	 	1019.90607	222.18791	 	421.20038	350.58615	 	1091.8007	371.4527	 	892.8644	396.7267	 	110.70209	403.0366	 	1231.2815	559.96027	 	52.346394	565.4404	 	618.7099	702.96564	 	1437.2583	816.2033	 	788.43964	968.7415	 	499.8045	1064.6654	 	861.92334	1075.011	 
